name,category,profile,earths,property,division,area,region,data,akt,edition,archeology,hydrology,hunting,geology,deforest,fishery,agricultur,building,tourism,shape_leng,shape_area,_prop,_prop_2,_region,_square_ga,_category,_type_1,_type_2,photo_url,sequrity,test,Лист8_Field2,Лист8_Field3,Лист8_Field4,Лист8_Field5,Лист8_Field6,name_2
Успенский-2,памятник природы,комплексный,земли лесного фонда,,"72:17:00 00 000:0175; 72:17-9.3",40.7299995422363,Тюменский,2012/06/01,Постановление Правительства Тюменской области №206-п,"ПП ТО №206-п от 01.06.2012г, ПП ТО №425-п от 15.10.2012г, ПП ТО №482-п от 21.11.2012г, ПП ТО №134-п от 19.03.2021г.",,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,5476.59585131494,1460888.69756974,Региональный,reg_pam_prir,TYM,"40,72",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/v8g24XDY/2.jpg,,,,,,,,Успенский-2
Тополя,охранная зона,комплексный,"земли населенных пунктов, земли лесного фонда",,"72:17:1313002:1028, 72:17:1313002:1238",15.4706001281738,Тюменский,2000/03/31,Решение Губернатора Тюменской области №297-р,"ПП ТО №120-п от 19.04.2013; ПП ТО №197-п от 05.06.2013; ПП ТО №451-п от 16.10.2013; ПП ТО №244-п от 24.04.2020",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,3394.29587157577,535774.800629857,Региональный,reg_pam_prir,TYM,"58,93",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/8P902V9k/image.jpg ,,,Памятник природы,г. Тюмень,"Растительность: липа сердцелистная, дремлик болотный, дремлик зимовниковый и др.Ландшафт: березняк разнотравный.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Тополя
Хохловский курган,памятник природы,комплексный,земли сельскохозяйственного назначения,,72:21:08 08 001:0078,0.059999998658895,Ялуторовский,2000/06/05,Решение Губернатора Тюменской области №560-р,"РГ ТО №560-р от 05.06.2000 г., ПП ТО №194-п от 16.04.2021 г.",Разрешено,,,Запрещено,,,Запрещено,Запрещено,Разрешено,164.994746317628,2107.2339117253,Региональный,reg_pam_prir,,"0,0635",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/mgw8v5pw/image.jpg,,,,,,,,Хохловский курган
Ишимские бугры-Афонькинский,памятник природы,комплексный,земли особо охраняемых территорий и объектов,Региональная,72:11:01 05 001:0001,79.8585968017578,Казанский,2005/04/04,Постановление Администрации Тюменской области №58-пк,"ПА ТО №58-пк от 04.04.2005 г.; ПП ТО №79-п от 04.04.2006 г.; ПП ТО №200-п от 18.07.2008г.; ПП ТО №388-п от 25.09.2012 г.; ПП ТО №76-п от 04.03.2013 г.; ПП ТО №37-п от 31.01.2020 г",Разрешено,,Запрещено,Запрещено,,,Запрещено,Запрещено,Разрешено,7101.34246343469,2478067.72843036,Региональный,reg_pam_prir,TYM,"79,86",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/rF2jKkvj/image.jpg,,,,,,,,Ишимские бугры-Афонькинский
Брусничное,памятник природы,комплексный,"земли сельскохозяйственного назначения, земли водного фонда",,"72:14:16 08 002:561, 72:14:16 08 002:281",303.739990234375,Сладковский,1994/01/28,Решение Администрации Тюменской области №84-р,ПП ТО №219-п от 22.04.2021 г.,,,Запрещено,,Запрещено,,Запрещено,,Разрешено,12148.2115634852,9478550.34846064,Региональный,reg_pam_prir,TYM,"303,74",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/HLN4HDwQ/image.jpg,,,Памятник природы,Сладковский район,"Растительность: первоцвет длиннострелковый.Млекопитающие: косуля, кабан.Эталонные участки основных типов экосистем: торфяник на оз. Брусничное; комплекс озерно-болотной растительности; сосново-кустарничково-сфагновое болото. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Брусничное
Комиссаровский,государственный природный заказник,"комплексный, золлогический",земли лесного фонда,,,4389.89990234375,Заводоуковский,1988/07/05,Решение Исполнительного комитета Тюменской области Совета Народных Депутатов №174,ПП ТО №176-п от 01.04.2021 г.,,Запрещено,Запрещено,Запрещено,Запрещено,Нет данных,Запрещено,Запрещено,Разрешено,70127.5218901885,141762870.153289,Региональный,reg_zac,TYM,"4389,90",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/QN1kLzHT/image.jpg,,,государственный природный заказник,Заводоуковский городской округ,"Орнитофауна: глухарь, тетерев, белая куропатка, орлан-белохвост, кречет, сапсан и др.Млекопитающие: лось, кабан, косуля, куница, барсук.Растительность: башмачок настоящий, ковыль перистый.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Комиссаровский
Ишимские бугры-Кучумова гора,памятник природы,комплексный,земли особо охраняемых территорий и объектов,Региональная,72:10:22 05 001:0003,318.790191650391,Ишимский,2005/04/04,Постановление Администрации Тюменской области №57-пк,"ПА ТО №57-пк от 04.04.2005; ПП ТО №79-п от 04.04.2006; ПП ТО №199-п от 31.08.2007; ПП ТО №132-п от 18.04.2011; ПП ТО №388-п от 25.09.2012; ПП ТО №293-п от 22.07.2013; ПП ТО №76-п от 04.03.20",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,21649.4180303652,9953567.87290708,Региональный,reg_pam_prir,TYM,"318,79",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/8c47pM2q/image.jpg,,,,,,,,Ишимские бугры-Кучумова гора
Липняк Шайтанский,памятник природы,комплексный,не определена,,,30,Нижнетавдинский,1998/12/31,Решение Губернатора Тюменской области №1029-р,"РГ ТО №1029-р от 31.12.1998 г.; ПП ТО №150-п от 27.03.2020 г",,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,3138.59273877934,550165.483764633,Региональный,reg_pam_prir,TYM,"30,00",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/RZkZzg3W/image.jpg,,,Памятник природы,Нижнетавдинский район,"Растительность: воронец колосистый, фиалка селькирка,ветреница лесная и др.Ассоциация реликтового широколистного леса, состоящего из двух плавно сменяющихся сообществ – чистого липняка и липово-елово-березового леса","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Липняк Шайтанский
Ишимские бугры-Гора Любви,памятник природы,комплексный,земли особо охраняемых территорий и объектов,Региональная,72:10:21 10 001:0018,99.8990020751953,Ишимский,2005/04/04,Постановление Администрации Тюменской области №56-пк,"ПП ТО №79-п от 04.04.2006г; ПП ТО №200-п от 31.08.2007г; ПП ТО №132-п от 18.04.2011г; ПП ТО №388-п от 25.09.2012г; ПП ТО №76-п от 04.03.2013г",Разрешено,,Запрещено,,Запрещено,,Запрещено,Запрещено,Разрешено,11004.0371897515,3176417.39494882,Региональный,reg_pam_prir,TYM,"99,90",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/76m4b9LM/image.jpg,,,,,,,,Ишимские бугры-Гора Любви
Троицкий,государственный природный заказник,комплексный,земли лесного фонда,,72:12:00 00 002:38,30967.5,Нижнетавдинский,1998/09/08,Решение Губернатора Тюменской области №705-р,"ПП ТО №570-п от 19.12.2016г., ПП ТО №56-п от 11.02.2021г.",,,Запрещено,Запрещено,Запрещено,,Разрешено,Запрещено,Разрешено,155130.032839767,1094701132.68013,Региональный,reg_zac,TYM,"30967,50",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/GhPWpzSB/image.png,,,государственный природный заказник,Нижнетавдинский район,"Орнитофауна: беркут, черный аист, скопа, большой кроншнеп, большой подорлик, сапсан, турпан и др.Млекопитающие: еж обыкновенный, лось, косуля, кабан, куница, барсук, хорь.Реликтовые елово-пихтовые слипой леса. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской областиГосударственное предприятие Тюменской области ""Тюменьлесхоз""",,Троицкий
Заморозовский,памятник природы,комплексный,"земли лесного фонда, земли сельскохозяйственного назначения",,"72:12:17 01 001:0025, 41, 38, 39, 51, 26, 21, 47, 50, 56, 48, 49, 42, 43, 45, 46, 34, 35, 44, 24, 40, 52, 22, 54, 32, 268, 22, 23, 20, 30, 28, 37, 19, 27, 29, 53, 58, 57, 59, 36, 31, 32, 33, 72:12:17 03 001, 52, 320, 321, 322; 72:12-9.6",2327.15991210938,Нижнетавдинский,2006/10/18,Постановление Правительства Тюменской области №237-п,"ПП ТО №237-п от 18.10.2006г, ПП ТО №176-п от 30.07.2007г; ПП ТО №132-п от 18.04.2011г; ПП ТО №388-п от 25.09.2012г; ПП ТО № 76-п от 04.03.2013г, ПП ТО №50-п от 05.02.2021г.",,Разрешено,Запрещено,Запрещено,Запрещено,Нет данных,Запрещено,Запрещено,Разрешено,54357.3436020152,90072812.0243933,Региональный,reg_pam_prir,TYM,"2327,16",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/1Xrvy75s/image.jpg,,,Памятник природы,Нижнетавдинский район,"Орнитофауна: полевой лунь, коростель, сибирский углозуб, двуцветный кожан и др.Млекопитающие: ёж обыкновенный.Растительность: липа сердцелистная, лилия кудреватая, овсовидка мозолистая, любка двулистная и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Заморозовский
Брусничное,охранная зона,комплексный,"земли сельскохозяйственного назначения, земли водного фонда",,"72:14:16 08 002:561, 72:14:16 08 002:281",,Сладковский,1994/01/28,Решение Администрации Тюменской области №84-р,,,,Запрещено,,Запрещено,,Запрещено,,Разрешено,25396.4573275402,2256312.9279299,Региональный,reg_pam_prir,TYM,"303,74",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/HLN4HDwQ/image.jpg,,,Памятник природы,Сладковский район,"Растительность: первоцвет длиннострелковый.Млекопитающие: косуля, кабан.Эталонные участки основных типов экосистем: торфяник на оз. Брусничное; комплекс озерно-болотной растительности; сосново-кустарничково-сфагновое болото. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Брусничное
Боровский,памятник природы,комплексный,земли особо охраняемых территорий и объектов,,72:22:06 05 001:0018,8.35999965667725,Ярковский,2004/08/30,Постановление Администрации Тюменской области №92-пк,"ПА ТО №92-пк от 30.08.2004г; ПА ТО №143-пк от 15.11.2004г; ПП ТО №180-п от 30.07.2007г; ПП ТО №132-п от 18.04.2011г; ПП ТО №76-п от 04.03.2013г; ПП ТО №148-п от 25.03.2021г.",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,2537.85552015201,291965.226473222,Региональный,reg_pam_prir,TYM,"8,36",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/nhgGffYq/image.jpg,,,Памятник природы,Ярковский район,"Растительность: отдельные деревья сосны обыкновенной возрастом более 200 летАрхеологический памятник, представляющий собой 3 курганных могильника раннего железного века.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Боровский
Озеро Табан,памятник природы,гидрологический,земли особо охраняемых территорий и объектов,,72:05:10 09 001:845,180.336166381836,Вагайский,2005/05/30,Постановление Правительства Тюменской области №47-п,"ПП ТО №47-п от 30.05.2005; ПП ТО №80-п от 04.04.2006; ПП ТО №201-п от 31.08.2007; ПП ТО №132-п от 18.04.2011; ПП ТО №441-п от 22.10.2012; ПП ТО №59-п от 21.02.2013; ПП ТО №379-п от 19.06.2020",,,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,11539.0296004899,6396125.43935034,Региональный,reg_pam_prir,TYM,"180,34",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/VNPgBqHm/image.jpg ,,,Памятник природы,Вагайский район,Орнитофауна: коростель.,"Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Озеро Табан
Язевский,памятник природы,комплексный,земли особо охраняемых территорий и объектов,,72:22:06 11 001:0126,254.929992675781,Ярковский,2012/01/16,Постановление Правительства Тюменской области №9-п,"ПП ТО №9-п от 16.01.2012 г., ПП ТО №482-п от 21.11.2012 г., ПП ТО №378-п от 05.07.2021 г.",,Нет данных,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,12888.5232192306,8678078.9204024,Региональный,reg_pam_prir,TYM,"254,93",Памятник природы,Непроизводственный,Заповедные,https://i.postimg.cc/504v76mH/image.jpg ,,,Памятник природы,Ярковский район,"Растительность: липа сердцелистная, башмачок крупноцветковый и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Язевский
Козлов мыс,памятник природы,комплексный,земли населенных пунктов,Региональная,72:17:2:55,85.9000015258789,Тюменский,2015/12/18,Постановление Правительства Тюменской области №584-п,"ПП ТО №584-п от 18.12.2015 г.; ПП ТО №348-п от 04.10.2019 г",Разрешено,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,11365.5527265353,2896105.67349621,Региональный,reg_pam_prir,TYM,"85,90",Памятник природы,Непроизводственный,Рекреационные,,,,Памятник природы,Тюменский район,"Орнитофауна: орлан-белохвост. Растительность: ирис низкий, ковыль перистый. Музей-заповедник: «Андреевское озеро», древний могильник. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Козлов мыс
Зиновский курган,памятник природы,комплексный,земли сельскохозяйственного назначения,,72:21:12 08 003:0065,0.300000011920929,Ялуторовский,2000/06/05,Решение Губернатора Тюменской области №560-р,"РГ ТО №560-р от 05.06.2000 г., ПП ТО №194-п от 16.04.2021 г.",Разрешено,,Запрещено,Запрещено,,,Запрещено,Запрещено,Разрешено,367.58808799795,9954.25334751003,Региональный,reg_pam_prir,TYM,"0,30",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/brV201m1/image.jpg,,,Памятник природы,Ялуторовский район,"Растительность: ковыль перистый, адонис весенний, шалфей и др.Памятник археологии: «Русский Сингуль 2, курган».","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Зиновский курган
Карташовский бор,памятник природы,комплексный,земли особо охраняемых территорий и объектов,Региональная,72:16:00 00 000:0044,138.65299987793,Тобольский,1968/08/22,Решение Исполнительного комитета Тюменской области Совета Депутатов трудящихся №515,"Решение ИК ТО Совета ДТ №515 от 22.08.1968 г.,ПП ТО №400-п от 03.10.2012 г., ПП ТО №482-п от 21.11.2012 г., ПП ТО №196-п от 16.04.2021 г.",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,21713.8565371835,4995076.90186509,Региональный,reg_pam_prir,TYM,"138,65",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/9Q7qTRZq/image.jpg,,,Памятник природы,Тобольский район,"Орнитофауна: орлан-белохвост, коростель, воробьиный сычик и др. Млекопитающие: заяц-беляк, еж обыкновенный, бурозубка, медведь бурый, рысь, белка-летяга, волк, лось и др, Растительность: липа сердцевидная, овсовидка мозолистая, ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Карташовский бор
Колмаковский парк,памятник природы,комплексный,земли населенных пунктов,Региональная,,5.92159986495972,г. Заводоуковск,1968/08/22,Решение Исполнительного комитета Тюменского областного Совета депутатов трудящихся  № 515,"Решение Исполнительного комитета Тюменского областного Совета депутатов трудящихся от 22.08.1968 № 515; Постановление Правительства Тюменско",,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,1690.73725943457,193927.967832394,Региональный,reg_pam_prir,TYM,"5,92",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/50xHZsGw/image.jpg,,,,,,,,Колмаковский парк
Кулаково,памятник природы,комплексный,земли лесного фонда,,72:17:11 04 002:0006,28.1947994232178,Тюменский,2005/04/04,Постановление Администрации Тюменской области №59-пк,"ПА ТО №59-пк от 04.04.2005; ПП ТО №79-п от 04.04.2006; ПП ТО №202-п от 18.07.2008; ПП ТО №132-п от 18.04.2011; ПП ТО №388-п от 25.09.2012; ПП ТО №76-п от 04.03.2013; ПП ТО №212-п от 17.04.20",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,5066.6248452166,947084.947651763,Региональный,reg_pam_prir,TYM,"28,19",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/0266RMtH/image.jpg,,,Памятник природы,Тюменский район,Растительность: ковыль перистый.,"Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Кулаково
Медянская роща,памятник природы,комплексный,земли лесного фонда,,72:16:07 14 001:0001,119.71900177002,Тобольский,1968/08/22,Решение Исполнительного комитета Тюменской области Совета Депутатов трудящихся №515,"Решение ИК ТО Совета ДТ №515 от 22.08.1968 г., ПП ТО №400-п от 03.10.2012 г., ПП ТО №482-п от 21.11.2012 г., ПП ТО №196-п от 16.04.2021 г.",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,10191.2728366615,4276623.48341015,Региональный,reg_pam_prir,TYM,"119,72",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/QCkQNwJz/image.jpg ,,,Памятник природы,Тобольский район,"Орнитофауна: коростель.Млекопитающие: обыкновенный еж, бурозубка, кутора, лисица, куница, медведь бурый, заяц-беляк и др. Растительность: липа сердцелистная, массив кедровых, сосновых, пихтовых, еловых насаждений.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Медянская роща
