1;2;3;4;5;6;7;8
Новоаракчинский;Памятник природы;318,4633;Непроизводственный;Рекреационные;https://i.postimg.cc/yYcxw08D/image.jpg ;https://i.postimg.cc/yYcxw08D/image.jpg ;
Новозаимский парк ;Памятник природы;8,5044;Непроизводственный;Рекреационные;https://i.postimg.cc/xC2b4gKT/2.jpg ;https://i.postimg.cc/xC2b4gKT/2.jpg ;
Озерно-болотный комплекс «Ишим- бай»;Памятник природы;119,2365;Непроизводственный;Рекреационные;https://i.postimg.cc/MKxdQbNw/image.jpg ;https://i.postimg.cc/MKxdQbNw/image.jpg ;
Озеро Большой Уват;Памятник природы;19087,03;Непроизводственный;Рекреационные;https://i.postimg.cc/ZYDs1yMz/image.jpg ;https://i.postimg.cc/ZYDs1yMz/image.jpg ;
Озеро Монастырское;Памятник природы;1277,6348;Непроизводственный;Рекреационные;https://i.postimg.cc/cHgfp6zX/image.jpg ;https://i.postimg.cc/cHgfp6zX/image.jpg ;
Озеро Соленое;Памятник природы;109,9139;Непроизводственный;Рекреационные;https://i.postimg.cc/d3grQFbw/image.jpg ;https://i.postimg.cc/d3grQFbw/image.jpg ;
Озеро Табан;Памятник природы;180,33617;Непроизводственный;Рекреационные;https://i.postimg.cc/VNPgBqHm/image.jpg ;https://i.postimg.cc/VNPgBqHm/image.jpg ;
Озерный;Памятник природы;2822,03;Непроизводственный;Рекреационные;https://i.postimg.cc/kGTYT2Rw/image.jpg ;https://i.postimg.cc/kGTYT2Rw/image.jpg ;
Окрестности дома отдыха «Тобольский»;Памятник природы;202,04;Непроизводственный;Селитебные;https://i.postimg.cc/pTDB6p4z/image.jpg ;https://i.postimg.cc/pTDB6p4z/image.jpg ;
Окрестности села  Вагай;Памятник природы;62,89;Непроизводственный;Селитебные;https://i.postimg.cc/Mp8FZJbW/image.jpg ;https://i.postimg.cc/Mp8FZJbW/image.jpg ;
Панин  бугор;Памятник природы;459,97;Непроизводственный;Селитебные;https://i.postimg.cc/dQHWPKpk/image.jpg ;https://i.postimg.cc/dQHWPKpk/image.jpg ;
Падунский;Памятник природы;534,7308;Непроизводственный;Рекреационные;https://i.postimg.cc/WpwvMtDR/image.jpg ;https://i.postimg.cc/WpwvMtDR/image.jpg ;
Пихтовый мыс;Памятник природы;212;Производственный;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/nLrzWBDQ/image.jpg ;https://i.postimg.cc/nLrzWBDQ/image.jpg ;
Полуяновский бор;Памятник природы;554,842;Непроизводственный;Рекреационные;https://i.postimg.cc/ZqbYd3cM/image.jpg ;https://i.postimg.cc/ZqbYd3cM/image.jpg ;
Припышминские;Памятник природы;315,7;Непроизводственный;Рекреационные;https://i.postimg.cc/5NDFLPYk/image.jpg ;https://i.postimg.cc/5NDFLPYk/image.jpg ;
боры;;;;;;;
Рахимовский;Памятник природы;867,2712;Производственный;ООПТ с сельскохозяйственной деятельностью;https://i.postimg.cc/BZgg5G47/image.jpg ;https://i.postimg.cc/BZgg5G47/image.jpg ;
Роща Декабристов;Памятник природы;78,866;Непроизводственный;Селитебные;https://i.postimg.cc/xT3WbZ49/image.jpg ;https://i.postimg.cc/xT3WbZ49/image.jpg ;
Синицинский бор;Памятник природы;1110,73;Непроизводственный;Рекреационные;https://i.postimg.cc/K4SsgPnk/image.jpg ;https://i.postimg.cc/K4SsgPnk/image.jpg ;
Сингульский лес;Памятник природы;735,892055;Непроизводственный;Рекреационные;https://i.postimg.cc/x1VWk2Rx/image.jpg ;https://i.postimg.cc/x1VWk2Rx/image.jpg ;
Система Черноковских озер;Памятник природы;3585,653;Непроизводственный;Рекреационные;https://i.postimg.cc/rpMXHkR0/image.jpg ;https://i.postimg.cc/rpMXHkR0/image.jpg ;
Старопогостовский бугор;Памятник природы;18;Непроизводственный;Рекреационные;https://i.postimg.cc/rs32ZR5M/image.jpg ;https://i.postimg.cc/rs32ZR5M/image.jpg ;
Тополя;Памятник природы;58,9261;Непроизводственный;Селитебные;https://i.postimg.cc/8P902V9k/image.jpg ;https://i.postimg.cc/8P902V9k/image.jpg ;
Урочище Бузан;Памятник природы;6,8345;Непроизводственный;Рекреационные;https://i.postimg.cc/yYbM7RgH/image.jpg ;https://i.postimg.cc/yYbM7RgH/image.jpg ;
Урочище Орлы;Памятник природы;42,25;Непроизводственный;Заповедные;https://i.postimg.cc/brY7wH9z/image.jpg ;https://i.postimg.cc/brY7wH9z/image.jpg ;
Успенское;Памятник природы;5,9205;Непроизводственный;Селитебные;https://i.postimg.cc/DfgF3mPv/image.jpg ;https://i.postimg.cc/DfgF3mPv/image.jpg ;
Успенский - 2;Памятник природы;40,7268;Непроизводственный;Рекреационные;https://i.postimg.cc/t4795yPX/2.jpg ;https://i.postimg.cc/t4795yPX/2.jpg ;
Хохловский;Памятник природы;0,0635;Непроизводственный;Рекреационные;https://i.postimg.cc/Ghd2vZq2/image.jpg ;https://i.postimg.cc/Ghd2vZq2/image.jpg ;
курган;;;;;;;
Червишевский;Памятник природы;12,8666;Непроизводственный;Рекреационные;https://i.postimg.cc/5t6j6LpS/image.jpg ;https://i.postimg.cc/5t6j6LpS/image.jpg ;
Шашовский, уча сток 1;Памятник природы;636,29759;Непроизводственный;Рекреационные;https://i.postimg.cc/rpP0JQzH/image.jpg ;https://i.postimg.cc/rpP0JQzH/image.jpg ;
Шашовский, участки 2, 3;Памятник природы;4,45513;Непроизводственный;Селитебные;https://i.postimg.cc/65rZXr17/2-3.jpg ;https://i.postimg.cc/65rZXr17/2-3.jpg ;
Южаковский;Памятник природы;3833,58;Производственный;ООПТ с сельскохозяйственной деятельностью;https://i.postimg.cc/V6vv0MRF/image.jpg ;https://i.postimg.cc/V6vv0MRF/image.jpg ;
Юртоборовский;Памятник природы;37,177707;Производственная;ООПТ с лесопромышленным комплексом;https://i.postimg.cc/zXgLkC1t/image.jpg ;https://i.postimg.cc/zXgLkC1t/image.jpg ;
Язевский;Памятник природы;254,92593;Непроизводственный;Заповедные;https://i.postimg.cc/504v76mH/image.jpg ;https://i.postimg.cc/504v76mH/image.jpg ;
;ООПТ регионального значения (Областной полигон экологического мониторинга);;;;;;
Областной полигон экологического мониторинга;Полигон экологического мониторинга;3695;Непроизводственный;Заповедные;https://i.postimg.cc/mrNCyQ7f/image.jpg ;https://i.postimg.cc/mrNCyQ7f/image.jpg ;
